,1,2,3,4,5,6,7,8,9,10,11,12
A,0.29,0.375,0.339,0.334,0.258,0.238,0.176,0.174,0.214,0.103,0.099,0.065
B,0.294,0.35,0.319,0.294,0.27,0.281,0.233,0.17,0.154,0.145,0.107,0.07
C,0.28,0.336,0.403,0.317,0.333,0.319,0.23,0.22,0.192,0.13,0.111,0.078
D,0.331,0.373,0.361,0.334,0.294,0.329,0.268,0.231,0.198,0.149,0.112,0.085
E,0.331,0.314,0.29,0.332,0.276,0.292,0.263,0.228,0.129,0.117,0.086,0.072
F,0.353,0.357,0.334,0.309,0.275,0.253,0.307,0.216,0.213,0.13,0.086,0.073
G,0.337,0.306,0.272,0.326,0.274,0.207,0.175,0.332,0.14,0.092,0.119,0.079
H,0.346,0.327,0.344,0.313,0.281,0.272,0.253,0.224,0.229,0.114,0.107,0.1
