,1,2,3,4,5,6,7,8,9,10,11,12
A,0.145,0.183,0.17,0.051,0.161,0.053,0.105,0.109,0.086,0.074,0.066,0.052
B,0.283,0.27,0.177,0.154,0.164,0.127,0.111,0.121,0.11,0.093,0.105,0.056
C,0.327,0.241,0.25,0.23,0.137,0.172,0.122,0.147,0.129,0.102,0.097,0.07
D,0.251,0.298,0.267,0.224,0.235,0.218,0.111,0.172,0.165,0.123,0.12,0.058
E,0.223,0.269,0.244,0.203,0.264,0.19,0.17,0.144,0.124,0.08,0.097,0.072
F,0.272,0.285,0.295,0.234,0.243,0.242,0.187,0.143,0.117,0.09,0.089,0.072
G,0.279,0.266,0.316,0.314,0.246,0.21,0.198,0.205,0.107,0.096,0.081,0.052
H,0.266,0.252,0.263,0.249,0.281,0.231,0.203,0.205,0.131,0.106,0.089,0.072
