"Wells","values","conc","rep_tec","experiment","PositionScore"
"A03",34.5505617977528,"0.97",1,"EXP_2","4"
"A04",1.12359550561798,"1.95",1,"EXP_2","4"
"A05",32.0224719101124,"3.9",1,"EXP_2","4"
"A07",16.2921348314607,"15.6",1,"EXP_2","4"
"A08",17.4157303370786,"31.25",1,"EXP_2","4"
"A09",10.9550561797753,"62.5",1,"EXP_2","4"
"A10",7.58426966292135,"125",1,"EXP_2","4"
"A11",5.33707865168539,"250",1,"EXP_2","4"
"A12",1.40449438202247,"500",1,"EXP_2","4"
"B01",66.2921348314607,"0",2,"EXP_2","4"
"B02",62.6404494382023,"0.485",2,"EXP_2","3"
"B03",36.5168539325843,"0.97",2,"EXP_2","3"
"B04",30.0561797752809,"1.95",2,"EXP_2","3"
"B05",32.8651685393258,"3.9",2,"EXP_2","3"
"B06",22.4719101123595,"7.8",2,"EXP_2","3"
"B07",17.9775280898876,"15.6",2,"EXP_2","3"
"B08",20.7865168539326,"31.25",2,"EXP_2","3"
"B09",17.6966292134831,"62.5",2,"EXP_2","3"
"B10",12.9213483146067,"125",2,"EXP_2","3"
"B11",16.2921348314607,"250",2,"EXP_2","3"
"B12",2.52808988764045,"500",2,"EXP_2","4"
"C01",78.6516853932584,"0",3,"EXP_2","4"
"C02",54.4943820224719,"0.485",3,"EXP_2","3"
"C03",57.0224719101124,"0.97",3,"EXP_2","2"
"C04",51.4044943820225,"1.95",3,"EXP_2","2"
"C05",25.2808988764045,"3.9",3,"EXP_2","2"
"C06",35.1123595505618,"7.8",3,"EXP_2","2"
"C07",21.0674157303371,"15.6",3,"EXP_2","2"
"C08",28.0898876404494,"31.25",3,"EXP_2","2"
"C09",23.0337078651685,"62.5",3,"EXP_2","2"
"C10",15.4494382022472,"125",3,"EXP_2","2"
"C11",14.0449438202247,"250",3,"EXP_2","3"
"C12",6.46067415730337,"500",3,"EXP_2","4"
"D01",57.3033707865169,"0",4,"EXP_2","4"
"D02",70.5056179775281,"0.485",4,"EXP_2","3"
"D03",61.7977528089888,"0.97",4,"EXP_2","2"
"D04",49.7191011235955,"1.95",4,"EXP_2","1"
"D05",52.8089887640449,"3.9",4,"EXP_2","1"
"D06",48.0337078651685,"7.8",4,"EXP_2","1"
