"Wells","values","conc","rep_tec","experiment","PositionScore"
"H12",0.072,"500.000",8,"EXP_2",4
"A01",0.29,"0.000",1,"EXP_3",4
"A02",0.375,"0.485",1,"EXP_3",4
"A03",0.339,"0.970",1,"EXP_3",4
"A04",0.334,"1.950",1,"EXP_3",4
"A05",0.258,"3.900",1,"EXP_3",4
"A06",0.238,"7.800",1,"EXP_3",4
"A07",0.176,"15.600",1,"EXP_3",4
"A08",0.174,"31.250",1,"EXP_3",4
"A09",0.214,"62.500",1,"EXP_3",4
"A10",0.103,"125.000",1,"EXP_3",4
"A11",0.099,"250.000",1,"EXP_3",4
"A12",0.065,"500.000",1,"EXP_3",4
"B01",0.294,"0.000",2,"EXP_3",4
"B02",0.35,"0.485",2,"EXP_3",3
"B03",0.319,"0.970",2,"EXP_3",3
"B04",0.294,"1.950",2,"EXP_3",3
"B05",0.27,"3.900",2,"EXP_3",3
"B06",0.281,"7.800",2,"EXP_3",3
"B07",0.233,"15.600",2,"EXP_3",3
"B08",0.17,"31.250",2,"EXP_3",3
"B09",0.154,"62.500",2,"EXP_3",3
"B10",0.145,"125.000",2,"EXP_3",3
"B11",0.107,"250.000",2,"EXP_3",3
"B12",0.07,"500.000",2,"EXP_3",4
"C01",0.28,"0.000",3,"EXP_3",4
"C02",0.336,"0.485",3,"EXP_3",3
"C03",0.403,"0.970",3,"EXP_3",2
"C04",0.317,"1.950",3,"EXP_3",2
"C05",0.333,"3.900",3,"EXP_3",2
"C06",0.319,"7.800",3,"EXP_3",2
"C07",0.23,"15.600",3,"EXP_3",2
"C08",0.22,"31.250",3,"EXP_3",2
"C09",0.192,"62.500",3,"EXP_3",2
"C10",0.13,"125.000",3,"EXP_3",2
"C11",0.111,"250.000",3,"EXP_3",3
"C12",0.078,"500.000",3,"EXP_3",4
"D01",0.331,"0.000",4,"EXP_3",4
"D02",0.373,"0.485",4,"EXP_3",3
"D03",0.361,"0.970",4,"EXP_3",2
"D04",0.334,"1.950",4,"EXP_3",1
"D05",0.294,"3.900",4,"EXP_3",1
"D06",0.329,"7.800",4,"EXP_3",1
"D07",0.268,"15.600",4,"EXP_3",1
"D08",0.231,"31.250",4,"EXP_3",1
"D09",0.198,"62.500",4,"EXP_3",1
"D10",0.149,"125.000",4,"EXP_3",2
"D11",0.112,"250.000",4,"EXP_3",3
"D12",0.085,"500.000",4,"EXP_3",4
"E01",0.331,"0.000",5,"EXP_3",4
"E02",0.314,"0.485",5,"EXP_3",3
"E03",0.29,"0.970",5,"EXP_3",2
"E04",0.332,"1.950",5,"EXP_3",1
"E05",0.276,"3.900",5,"EXP_3",1
"E06",0.292,"7.800",5,"EXP_3",1
"E07",0.263,"15.600",5,"EXP_3",1
"E08",0.228,"31.250",5,"EXP_3",1
"E09",0.129,"62.500",5,"EXP_3",1
"E10",0.117,"125.000",5,"EXP_3",2
"E11",0.086,"250.000",5,"EXP_3",3
"E12",0.072,"500.000",5,"EXP_3",4
"F01",0.353,"0.000",6,"EXP_3",4
"F02",0.357,"0.485",6,"EXP_3",3
"F03",0.334,"0.970",6,"EXP_3",2
"F04",0.309,"1.950",6,"EXP_3",2
"F05",0.275,"3.900",6,"EXP_3",2
"F06",0.253,"7.800",6,"EXP_3",2
"F07",0.307,"15.600",6,"EXP_3",2
"F08",0.216,"31.250",6,"EXP_3",2
"F09",0.213,"62.500",6,"EXP_3",2
"F10",0.13,"125.000",6,"EXP_3",2
"F11",0.086,"250.000",6,"EXP_3",3
"F12",0.073,"500.000",6,"EXP_3",4
"G01",0.337,"0.000",7,"EXP_3",4
"G02",0.306,"0.485",7,"EXP_3",3
"G03",0.272,"0.970",7,"EXP_3",3
"G04",0.326,"1.950",7,"EXP_3",3
"G05",0.274,"3.900",7,"EXP_3",3
"G06",0.207,"7.800",7,"EXP_3",3
"G07",0.175,"15.600",7,"EXP_3",3
"G08",0.332,"31.250",7,"EXP_3",3
"G09",0.14,"62.500",7,"EXP_3",3
"G10",0.092,"125.000",7,"EXP_3",3
"G11",0.119,"250.000",7,"EXP_3",3
"G12",0.079,"500.000",7,"EXP_3",4
"H01",0.346,"0.000",8,"EXP_3",4
"H02",0.327,"0.485",8,"EXP_3",4
"H03",0.344,"0.970",8,"EXP_3",4
"H04",0.313,"1.950",8,"EXP_3",4
"H05",0.281,"3.900",8,"EXP_3",4
"H06",0.272,"7.800",8,"EXP_3",4
"H07",0.253,"15.600",8,"EXP_3",4
"H08",0.224,"31.250",8,"EXP_3",4
"H09",0.229,"62.500",8,"EXP_3",4
"H10",0.114,"125.000",8,"EXP_3",4
"H11",0.107,"250.000",8,"EXP_3",4
"H12",0.1,"500.000",8,"EXP_3",4
